COD,Horário Inicial,Horário final,TEMPO,TEMPO (MIN),TEMPO(ROT),Qtd peças conformes,Qtd peças não conformes,Observações,Data,Turno,Digitador
2047860,10:15,11:00,00:45:00,45,47,1,,Tampa Inf,29/1/2020,T1,Willian Zomer
160,11:00,11:20,00:20:00,20,#N/A,,,,29/1/2020,T1,Willian Zomer
192,11:20,11:40,00:20:00,20,#N/A,2,,Tampa Inf,29/1/2020,T1,Willian Zomer
180,11:40,12:50,01:10:00,70,#N/A,,,Almoço,29/1/2020,T1,Willian Zomer
2050643,12:50:00,14:10,01:20:00,80,30,2,,Fueiro Malhal,29/1/2020,T1,Willian Zomer
202,14:10,14:40,00:30:00,30,#N/A,,,,29/1/2020,T1,Willian Zomer
192,14:40,15:00,00:20:00,20,#N/A,,,Fueiro Malhal,29/1/2020,T1,Willian Zomer
2040430,15:00,15:30,00:30:00,30,28,1,,Frontal Premium,29/1/2020,T1,Willian Zomer
192,15:30,15:45,00:15:00,15,#N/A,,,,29/1/2020,T1,Willian Zomer
2047860,15:45,16:45,01:00:00,60,47,1,,Tampa Inf,29/1/2020,T1,Willian Zomer
120,16:45,17:10,00:25:00,25,#N/A,,,,29/1/2020,T1,Willian Zomer
201,17:00,18:40,01:40:00,100,#N/A,,,,29/1/2020,T2,Willian Zomer
192,18:40,19:03,00:23:00,23,#N/A,,,,29/1/2020,T2,Willian Zomer
2050430,19:03,19:27,00:24:00,24,12,1,,Frontal,29/1/2020,T2,Willian Zomer
201,19:27,22:01,02:34:00,154,#N/A,,,,29/1/2020,T2,Willian Zomer
192,22:01,22:16,00:15:00,15,#N/A,,,,29/1/2020,T2,Willian Zomer
2049697,22:17,22:51,00:34:00,34,52,1,,Frontal,29/1/2020,T2,Willian Zomer
201,22:52,23:30,00:38:00,38,#N/A,,,,29/1/2020,T2,Willian Zomer
192,23:31,00:10,00:39:00,39,#N/A,,,,29/1/2020,T2,Willian Zomer
2047860,00:11,01:00,00:49:00,49,47,1,,,29/1/2020,T2,Willian Zomer
192,01:00,01:30,00:30:00,30,#N/A,,,,29/1/2020,T2,Willian Zomer
2049980,01:31,02:10,00:39:00,39,12,1,,,29/1/2020,T2,Willian Zomer
170,07:00,07:10,00:10:00,10,#N/A,,,Retirada Tampa e Frontd Gabarito,30/1/2020,T1,Willian Zomer
202,07:10,08:00,00:50:00,50,#N/A,,,Tampa Inf. Montagem,30/1/2020,T1,Willian Zomer
192,08:00,08:30,00:30:00,30,#N/A,,,Regulagem Ponto Solda,30/1/2020,T1,Willian Zomer
2047860,08:30,09:45,01:15:00,75,47,1,,Regulagem Ponto Solda,30/1/2020,T1,Willian Zomer
192,09:45,10:15,00:30:00,30,#N/A,,,Regulagem Ponto Solda Frontal,30/1/2020,T1,Willian Zomer
2050430,10:15,10:40,00:25:00,25,12,1,,Frontal Premium,30/1/2020,T1,Willian Zomer
203,10:40,11:10,00:30:00,30,#N/A,,,Barrote,30/1/2020,T1,Willian Zomer
192,11:10,11:40,00:30:00,30,#N/A,,,Programação Barrote Pequeno,30/1/2020,T1,Willian Zomer
180,11:40,12:50,01:10:00,70,#N/A,,,Almoço,30/1/2020,T1,Willian Zomer
192,12:50,13:30,00:40:00,40,#N/A,,,Programado Barrote e Pontos Frontal,30/1/2020,T1,Willian Zomer
2049165,13:30,14:00,00:30:00,30,45,1,,Frontal Premium,30/1/2020,T1,Willian Zomer
2008164,14:00,15:05,01:05:00,65,42,8,,Barrote,30/1/2020,T1,Willian Zomer
192,15:05,15:50,00:45:00,45,#N/A,,,Regulagem Pontos Tampa Inf,30/1/2020,T1,Willian Zomer
2035284,15:50,16:30,00:40:00,40,48,1,,Tampa Lateral Inf.,30/1/2020,T1,Willian Zomer
192,16:30,16:45,00:15:00,15,#N/A,,,Regulgem Pontos Frontal Premium,30/1/2020,T1,Willian Zomer
2007720,16:45,17:10,00:25:00,25,6,1,,Frontal Premium,30/1/2020,T1,Willian Zomer
201,17:00,19:20,02:20:00,140,#N/A,,,,30/1/2020,T2,Willian Zomer
192,19:20,20:30,01:10:00,70,#N/A,,,Barrote,30/1/2020,T2,Willian Zomer
182,20:30,21:30,01:00:00,60,#N/A,,,,30/1/2020,T2,Willian Zomer
192,21:30:00,22:05,00:35:00,35,#N/A,,,Frontal,30/1/2020,T2,Willian Zomer
2050157,22:05,22:26,00:21:00,21,19,1,,Frontal,30/1/2020,T2,Willian Zomer
2008164,22:26,22:55,00:29:00,29,21,4,,Barrote,30/1/2020,T2,Willian Zomer
192,22:55:00,23:42,00:47:00,47,#N/A,,,Frontal,30/1/2020,T2,Willian Zomer
2050430,23:43,00:05,00:22:00,22,12,1,,Frontal,30/1/2020,T2,Willian Zomer
192,00:06,00:29,00:23:00,23,#N/A,,,,30/1/2020,T2,Willian Zomer
2008164,00:30,01:02,00:32:00,32,5,1,,Barrote,30/1/2020,T2,Willian Zomer
192,07:00,07:30,00:30:00,30,#N/A,,,Setup,3/2/2020,T1,Willian Zomer
2050430,07:30,08:00,00:30:00,30,12,1,,Frontal,3/2/2020,T1,Willian Zomer
192,08:00,09:00,01:00:00,60,#N/A,,,Setup,3/2/2020,T1,Willian Zomer
2050430,09:00,09:50,00:50:00,50,12,1,,Frontal,3/2/2020,T1,Willian Zomer
192,09:50,10:10,00:20:00,20,#N/A,,,Setup,3/2/2020,T1,Willian Zomer
2047860,10:10,11:05,00:55:00,55,47,1,,Porta Lateral inferior,3/2/2020,T1,Willian Zomer
192,11:05,11:20,00:15:00,15,#N/A,,,Setup,3/2/2020,T1,Willian Zomer
2050430,11:20,11:45,00:25:00,25,12,1,,Frontal,3/2/2020,T1,Willian Zomer
180,11:45,12:55,01:10:00,70,#N/A,,,Almoço,3/2/2020,T1,Willian Zomer
192,12:55,16:00,03:05:00,185,#N/A,,,Setup,3/2/2020,T1,Willian Zomer
2026398,16:00,17:10,01:10:00,70,5,1,,Porta Lateral inferior,3/2/2020,T1,Willian Zomer
182,17:10,18:00,00:50:00,50,#N/A,,,,3/2/2020,T2,Willian Zomer
192,18:00,18:21,00:21:00,21,#N/A,,,,3/2/2020,T2,Willian Zomer
2050430,18:21,18:44,00:23:00,23,12,1,,Frontal,3/2/2020,T2,Willian Zomer
192,18:44,23:15,04:31:00,271,#N/A,,,,3/2/2020,T2,Willian Zomer
192,23:15,23:34,00:19:00,19,#N/A,,,,3/2/2020,T2,Willian Zomer
2050430,23:34,23:56,00:22:00,22,12,1,,Frontal,3/2/2020,T2,Willian Zomer
160,23:56,00:35,00:39:00,39,#N/A,,,,3/2/2020,T2,Willian Zomer
192,00:35,00:54,00:19:00,19,#N/A,,,,3/2/2020,T2,Willian Zomer
2049980,00:54,01:17,00:23:00,23,12,1,,Frontal,3/2/2020,T2,Willian Zomer
160,01:17,01:40,00:23:00,23,#N/A,,,,3/2/2020,T2,Willian Zomer
192,01:40,01:58,00:18:00,18,#N/A,,,,3/2/2020,T2,Willian Zomer
2050430,01:58,02:20,00:22:00,22,12,1,,Frontal,3/2/2020,T2,Willian Zomer
2050091,10:40,11:35,00:55:00,55,80,1,,Tampa lateral inferior,5/2/2020,T1,Willian Zomer
192,11:35,11:45,00:10:00,10,#N/A,,,Setup,5/2/2020,T1,Willian Zomer
2049165,11:45,12:05,00:20:00,20,45,1,,Frontal,5/2/2020,T1,Willian Zomer
180,12:05,13:15,01:10:00,70,#N/A,,,Almoço 1:10,5/2/2020,T1,Willian Zomer
201,13:15,13:55,00:40:00,40,#N/A,,,Montagem Barrote,5/2/2020,T1,Willian Zomer
2034335,13:55,14:45,00:50:00,50,64,8,,Soldagem Barrote,5/2/2020,T1,Willian Zomer
192,14:45,15:00,00:15:00,15,#N/A,,,Setup Frontal,5/2/2020,T1,Willian Zomer
2048374,15:00,15:30,00:30:00,30,45,1,,Frontal,5/2/2020,T1,Willian Zomer
40,15:30,15:40,00:10:00,10,#N/A,,,,5/2/2020,T1,Willian Zomer
192,15:40,16:00,00:20:00,20,#N/A,,,Setup,5/2/2020,T1,Willian Zomer
2047860,16:00,17:10,01:10:00,70,47,1,,Tampa lateral inferior,5/2/2020,T1,Willian Zomer
192,17:10,17:31,00:21:00,21,#N/A,,,,5/2/2020,T2,Willian Zomer
2049980,17:31,17:53,00:22:00,22,12,1,,Frontal,5/2/2020,T2,Willian Zomer
201,17:53,22:40,04:47:00,287,#N/A,,,,5/2/2020,T2,Willian Zomer
192,22:40,23:49,01:09:00,69,#N/A,,,,5/2/2020,T2,Willian Zomer
2050091,23:49,00:18,00:29:00,29,80,1,,Barrote Lateral,5/2/2020,T2,Willian Zomer
192,00:18,00:39,00:21:00,21,#N/A,,,,5/2/2020,T2,Willian Zomer
2048374,00:39,01:00,00:21:00,21,45,1,,Frontal,5/2/2020,T2,Willian Zomer
201,01:00,02:22,01:22:00,82,#N/A,,,,5/2/2020,T2,Willian Zomer
10,07:00,07:15,00:15:00,15,#N/A,,,Montagem tampa gabarito,5/2/2020,T1,Willian Zomer
192,07:15,07:35,00:20:00,20,#N/A,,,Setup,5/2/2020,T1,Willian Zomer
2028323,07:35,08:00,00:25:00,25,1,1,,Frontal,5/2/2020,T1,Willian Zomer
192,08:00,10:15,02:15:00,135,#N/A,,,Setup tampa 2050091,5/2/2020,T1,Willian Zomer
192,10:15,10:21,00:06:00,6,#N/A,,,Setup Frontal,5/2/2020,T1,Willian Zomer
2041332,10:21,10:40,00:19:00,19,45,1,,Frontal,5/2/2020,T1,Willian Zomer
40,07:00,07:15,00:15:00,15,#N/A,,,Retirada Peças Gabarito,6/2/2020,T1,Willian Zomer
192,07:15,07:30,00:15:00,15,#N/A,,,Setup,6/2/2020,T1,Willian Zomer
2049980,07:30,07:48,00:18:00,18,12,1,,Frontal,6/2/2020,T1,Willian Zomer
192,07:48,09:00,01:12:00,72,#N/A,,,Setup,6/2/2020,T1,Willian Zomer
2008164,09:00,10:00,01:00:00,60,42,8,,Barrote,6/2/2020,T1,Willian Zomer
192,10:00,10:30,00:30:00,30,#N/A,,,Setup Tampa Lateral Inf,6/2/2020,T1,Willian Zomer
2047860,10:30,11:15,00:45:00,45,47,1,,Tampa Lateral Inf,6/2/2020,T1,Willian Zomer
192,11:15,11:30,00:15:00,15,#N/A,,,Setup Barrote,6/2/2020,T1,Willian Zomer
2008164,11:30,12:00,00:30:00,30,42,8,,Barrote 1 lado soldado,6/2/2020,T1,Willian Zomer
